thanks for the gift	worried back reappeared mouse dropped
the picture did n't work .	candace steps develop darkroom beginning
newt	newt leg tia tank home
a friend who lied .	busy night mom gary kids
tuna salad	josh decided tuna botulism died
the piano tuner	searched found call gave piano
the ruined luggage .	hotel tripped pond checked ruined
chinatown painting	chinatown ebay artist nyc purchase
office manners	leia quiet space wednesday boyfriend
down hill race	entered car hoped race flew
zippy	zippy day lonely hungry friends
jonas makes a snowman	cold house makes park jonas
rabbit food	buffet food clean waitress drove
all smiles	harassed desk move upset care
caught dead	retrieved house black woke robbing
the lie	pool grandma told park lucy
reading	reading parents disappointment eventually skeptical
weather predictions	enjoy mom windows home weatherman
burned burgers	john perfect minutes talk returned
painting	paint painting canvas watched paintings
training squeals	lion cage lions brought began
fixing my car	car turn tested alternator bad
take the time	claudette wife year children vacation
sweet poem	watching end research wrote poem
winning a sweater .	sean competition entered design waited
bus	schmidt late written work work
plumb	baseboard showed instructions work year
a robbery	frequent showed entered face man
dinner in nyc	dinner wife kids grandchild visiting
blue candle	bob candles shelf brought power
book learning	carol throw trash backyards books
the teacher	ashley sick teacher overworked fields
bargains	hunt car market offer good
the traveller	innkeeper space told night robbers
learning a song .	piano wanted looked watched song
night in the city	friends invited picked hours danced
sledding	hill crashed son yelling ears
my first apple pie	make pie apples smoke week
joke	guests joke funny restaurant newsletter
frustration	assignment assignments board flipped mad
flip flop	slippers stairs amy breaking flip
singing	man calmed learned relaxation attack
the checker party	house vote kyle unanimous change
a trip to canada	dad edmonton alberta waterpark day
job promotion	office work job cindy friendship
chocolate pug	christmas wrapped movies night family
polka dots	fabric idea choice puppies polka
abel 's work	responsible day customers job customer
hit the bricks .	bricks training thought easy run
family vacation	family summertime hot boardwalk angry
resigned	amy interested sat muster interest
the fruit basket	year ate fruit shortly smiled
lake family road trip	summer pack food car road
weekly special	chef week special looked fruit
michael and cindy	michael class pencil hand result
guitar lessons	jasmine play asked year taking
can drive	sam school mom spare food
drunk driving	bob influence stopped police jail
the photograph	grandmother common photos sort find
ghost	house ghosts real decided trap
learning magic tricks	day magician enamored shocked birthday
cousin visits	find visiting kids sherry watch
stassi 's big move	life wanted york stassi friends
thanksgiving	thanksgiving recipes buy made dessert
comfort food	father worked night woke kitchen
piano lessons	family money lessons babysit pianist
susan 's restaurant	start decided hired successful magazines
flat tire	john sudden heard pulled found
dirty house	tom house magazines clean decided
the chase	john suddenly thought chased faster
dinner	dinner tasty dishes thirsty i
dinner	mom sick bed decided time
the bill	paul leaving repair called repaired
the dessert	timmy making good wait eat
storm chasers	donnie week needed bad back
the picnic	park drinks food awhile return
the good friend	jadon encouragement math worked friend
trevor 's win in basketball	team won vital captain ball
first time ice skating	saturday times fell hang day
today for you , tomorrow for me	jake asked pockets change man
first flight	edge looked jumped ocean decided
the bracelet	bracelet give mom sister tim
turtle rescue	river turtle brought health i
frozen pond	jeff day swim rescue dive
the urgent call	feeling life lark hotline kind
sally finds friends	busy began friends wanted found
film club	school membership filled club happy
the fog	stepped thick driveway street mailbox
job	lose headaches headaches headaches i
sam	work man prepared wanted man
the help	debt opportunity deferred payments day
winner	dollars tickets bought scratched tickets
girl scout cookies	jon door night boxes ate
melodic intimacy	years married singing surprised day
truck	truck black rough peak ravine
work	job day anxiety ulcer happy
bob 's wise ways	bob asked wise learn learning
assembly done	kim lot assembly worked longer
holding a parking spot	house drove neighbor driveway thanked
tutor	allie tutor studied understand class
grilling hamburgers	family tonya good grilling food
sally 's gift	give money sally string beads
angry friend	gina day school changed chose
i bought a salad spinner .	loved salad order salads bought
yearbook surprise	handed surprise girl yearbook book
peace	advocate decided peace gathered josh
doctor in the house	lived daughter sunday doctor called
how i helped my friend in jail	jail called manage signed power
ball player	classmates team scrawny small wanted
donald	introverted died college told church
bob runs the marathon	marathon race day bob time
the fire	suzy ran fire garbage damaged
waiting	sticking legs chair made wished
sadness	halloween allowed school trick sat
the storm	coast storms announced news sue
and now	house city side kim curb
the italian man	mariah man introduced tour extend
the surprise	father tickets day drove george
6 feet	jane taller track surprised man
runaway	asa run hike cooley night
basketball game	fred nervous thankfully game relieved
cancelled	podium crowd umbrella security told
someday i 'll come home	son country beach sat flask
chase utley	time sunny philadelphia players managed
the teacher	sandy failing offered refused class
arun visits italy	life researched finally lifetime arun
the post it note prank .	prank idea fall post notes
bad math	working average expected hours sheet
study hard	school years heard application instantly
ruined food	food place poured lot salt
clowning around	crowd scary funny phone stolen
label	meet hopeful change offer pat
guitar lessons	interested studios weighed weeks skills
physics test	olivia studied test puts night
lego	play childhood adult set gave
paper money	store dead printed internet lot
watches	selection characters made chose needed
the surprise party .	walking lights confused birthday coworkers
my nana 's house	house sleep lots night nightmare
horace makes a shake	breakfast make banana apple yogurt
the lost child	father walking notice employee called
the helicopter ride	anita promised day fly arranged
the petting zoo	karen pet lap pigs evening
going to the movies	movie wanted skip care movies
sledding	sled snow finally ran whizzed
phoebe 's trip to the grocery store	phoebe made dog spotted store
barbie wife	peter house wife snuck put
seat next to me	kids introduced nervous love meet
broken light	light replacing fuses eventually problem
hot hand	food asked put decided ended
misunderstanding	cleaning homework trash spent told
mall	mall nuts lot fight spot
ear me now	kidnapped ransom pay principle set
i 've given up	car day turn symbol strength
mark breaks his ankle	mark jumped ball landed friend
austin	son boston plan lost luckily
twenty men	sauna sweating asked mark jim
the choice	beth country schools decision stay
spilled polish	painting spilled color mad .
window seat	gina family siblings fought sat
new kitchen	joe cook lot grandma house
accident	overslept upset hear people found
event	pick event items food sale
rodney 's date	rodney needed upset cancel stay
busted by a bird	parrot habit question picked repeating
a bed of aged roses	julie grandmother roses garden remembered
selfish	waitress meal told offer accepted
brown bag	danny packed ate day kids
rude behavior	assignment introduced boyfriend interested immediately
secret chef	years hated night chef good
browsing for cats	cats searching entries bored called
dire mistakes	wanted india booked realized plane
zippy	puppy named walk hours yelled
snack	amy water stopped chugging time
stress	stresses premises knew healthy disappear
jaden smith is weird .	mirrors living looked head amazement
sean 's guitar lesson	lessons wanted house lesson paid
the cookie incident	box people point choked performed
tornado	children hallway tornado school luckily
instrument	claire exhausted stop door home
the apology	rapper tour facebook photo apology
no scale	dieting track scale diet feedback
baseball	game games caught autograph back
creepy kid	mowing spotted driveway walking i
i went to the mall yesterday !	buy needed choosing shop store
freezer burn	ida bowl carton frowned burned
the wife	find bored stay week changed
racing	car lane revving challenging race
taking daughter to work	work theresa good lucy checked
intentions	tired point tasks lucky make
grandpa	max watch chair dinner grandpa
salmon	treats buy dog salmon loved
broken glass	desk shout bed floor blasting
mystery garden	plant seeds marked night rows
park day	swings excited sky air love
toothache	efforts spite experienced pain abate
namesake	beth sweet wanted caramel names
the sunset	sunset matt arriving storm jamie
hot pants	mall pair hid yelled care
gun story	employees asked senile confused gun
brother v	michael coming surprise town arranged
older child .	babysit busy lynette lot family
homewood suites by hilton	hotel property turn consultant hotel
father and son	jeremy dad wanted solo talking
best buy card	week money cash card found
ungrateful person	gift inside requested weeks changed
camera	daughter open day missing recovered
driver 's test	mom nervous pulled curb great
headache	melinda day overflowing fell scared
robbery	restaurant gun floor safe left
family vacation	disneyland worked money earning bought
organic sanity	foods good label baffled health
the horse ride	jamie weekend things nervous skills
teaching lesson	highway road pulled tire change
garbage collection	sophie week forgot emptied clear
the broken tv	rodrick house toys television time
worker	job work home hired happy
an odd little boy	spent cussing career make quentin
what a joke	comedian past story material smile
the break up	couple year day steve and
the late night visitor	late person jumped crept peeked
downtown lunch	food downtown figured open lunch
school	day friends thought found spent
jason	time doctor discovered night energy
the signed art .	kaitlyn wanted met sign loved
the bowling party	kyle start excited made friends
rejection	affecting relationship doomed problem married
food network star	excited greatest judges happier joy
the cast	skated day wear jake jake
what a morning !	morning house mud room continue
sleepy day at work	late woke knew focus struggled
vacation planning	ron prices price drive decide
a trip to the store	hungry house decided store selected
trip to candy factory	street visit walked samples disappointed
nails	friends nails advertised earned dress
card game	week bragged beat day win
store closing	shopped everyday dismay devastated find
the cake	bake cookbook recipe put oven
teaching catastrophe	reggie availability sense time helped
val saw	val tripping ali annoyance plan
buying a dog	lonely decided dog fluffy dog
kim	license signed weekend lessons ready
the funeral	funeral attend afraid day happy
the advent calendar .	julia parents favorite kids calendar
bus driver	wanted studied finally test excited
training wheels	bike remove test steadily but
gas station	car fire coming save worse
steering wheel	car playing dad street walk
dead dog	started face cancer put dead
business trip	work ticket jennifer trip needed
too many lights	house cover year put neighborhood
weather lady	dreamed college hard graduating put
easter dinner	cook husband found rushed ham
visiting my friends	house drove beer ate night
the game winner	week rick start period tied
rude awakening	alarm left morning wake mother
bad hair	cal frizzy today lay gel
gerald and his birthday	gerald birthday family roscoe chicken
dia	find luck ended online order
dunking a basketball	dunk wanted rim ball inches
natty dread	natty school scissors home idea
cookies for milo	milo properly mother day anger
the big game	derek nervous days ready stood
shoes	market wanted mall hours found
the stolen cookies	day box ate sister bedroom
johann grinds coffee beans	cup coffee grinding makes longer
big bird	victor buy started money wait
running down hill	jake hill fell tumbled hurt
knots	ship cook navigate hard offered
banana bread	friday cold bananas internet sunday
bench press	fitness struggling put buddy mine
momma 's house	mom hungry asked sandwich dog
cass	thirsty dinner ended problems handle
turk assist	extension purpose functions wiped database
thorns	property cleaning working dog paw
new friends	moved years sad moving hope
collection	beach glass walk sam find
jeep	jeep saved dealership cash drive
laura and her tears	son year mind find laura
unexpected windfall	evening sheep brands figure sheep
ice	john lot middle slipped fell
thanksgiving parade	special attend entries addition route
feeling so alone	read book tore syndicate eleven
garage door opener	replace bought put install opener
tussle	gina pushed back tussle sounds
the skull	plant shovel dug skull tossed
jenny 's library trip	mother week planning library search
homemade meal	tim nervous decided make grandma
dancing	nervous good dancing signed lessons
butterfly catcher	sarah catch beautiful free .
the fisherman	fish village find sea travis
marathon	marathon months woke finishing training
billy worked from home .	money work lot swing long
bought some new shoes .	needed decided yesterday found bought
the pirate 's parrot	scarlet parrot loved crew attacked
bad data frame	data reason wrong source decided
cooking class	wanted average lot signed classes
arson	bored matches fire house prison
city council	pit upset met care leslie
the pick up	carl handsome friends girlfriend approach
the bad job	work call grumpy reason job
alaska	charles wanted ship awe photo
ice cream	decided open options offers ice
soccer game	team nervous field teams team
santa claus	christmas presents happy bedroom remembered
blind roger	blind roger listen ball court
death and ...	belongings state house arrival hit
bill 's book	book offered bill book bill
chipotle	foods parents offered chipotle food
toy cars	grow dreamed set loved plays
the band	band wanted play john band
park	visit playground met mom time
dangerous times	killed gas scared increase security
sunken mystery	town day chest surface locked
hangry	watch agitated minutes tears fries
grape candy	lots uncomfortable gave candy friends
hair	wanted hair hairdresser asked cut
video games	money decided sell cards week
ankle sprain	nature hopes painful weekend hurry
vicky buys shoes	vicky bad summons awful lasts
theresa moves to denver	texas cold jobs denver job
custom ring	fiance picked designs selected jade
the porch beach .	play rained mike cover side
sickly lady	lady doctor lived dog companion
night drive	amy sign lost pulled home
fake diamonds	ellen jeweler picked fake thought
final day of the semester	exams taking friends home hang
the missing sandwich	lunch sandwich refrigerator started sandwich
designer	good deals outfit scoured percent
always hyped	kind energy dancers frightened hyped
school of rock	music school find replacement program
shuffle blunder	money result dropped table returning
thrones .	show time couple watch day
the diet	day diet eating ate hungry
the tornado	home area familiar warnings heading
save the fish	loved recently aquarium realized alive
getting beer	beer change back freak friend
yosemite	matt wildlife bought bears coyotes
snake	day dog barking snake nuts
time to reflect	mirror care dug rough gave
do n't smash the ant hill	robert play malice hill ants
wallet	girl acquisition began stolen returned
bolivia	house wanted slideshow jill decided
accidents happen	rachel excited hopped fell thankfully
stung	bees day hurt arm swell
a glass of water	water exercising bottle kitchen drank
big test	study home studying sat test
hot cocoa	billy cold realize inside mom
the f	school failed sad teacher grade
staying late	work upset asleep food beer
the slide	park problem afraid blast finally
tet	celebration celebrate enjoyed gifts food
messy room	jill time papers day room
megan and the toad	bushes thought pick hand expected
skateboarding	skateboarder wanted skaters order kickflip
a game of chess	jon friend alas jon game
kiwi	indonesia decided kiwi tasty bought
entry level	applied application withdrew experience told
snapped string	room string face felt removed
wrong person to blame	sink caused brother ended month
leather	years passionate working relationship things
concert	concert nervous invitation ended ben
saving up	wanted buy money decided months
learning calculus	tim start father tutorials concepts
on the path	beth woods path hit continued
bernie 's blues	family sad apartment guitar wallows
entrepreneur	carnival wondered race sell night
crepes	made mom make learned impressed
hawaiian vacation	wanted boss told quit i
no introduction needed	teenager amused mother day class
a door problem	house slammed lot oil make
sick dog	acting vet sick give dog
new phone	phone decide iphone declined card
ducks	wanted parents learned building coop
running away from home	bob decided run packed hours
dad	ann twins loved alzheimer agreed
writer 's block	today coming finally flash inspiration
the easter present	excited jumped wanted delight knew
how i was elected	constable running voted candidate position
packing tape	amazon wednesday supposed day accepted
toothache	jim red figure problem dentist
rare bird	marge tree climbed top watched
phil goes to war	phil life recruits time medal
too nice	adriana husband sadly show woman
less hours	normal office children complained learn
cheating	leslie boyfriend boy propose caught
phone charger	phone battery shift charger shift
politics	politics running politician election promises
libby 's new shoes	internet days package delivered box
colitis	colitis eat dinner realized feed
deception	hannah bathroom hair cut hair
man in the mirror	shave dirty clean shaved left
bob 's applesauce	lunchbox bob applesauce wanted day
be careful what you say	school shoes offended day gave
sweet music	music life instrument play gift
rhonda gets a sense of humor	comedy rhonda decided hilarious shows
broken phone	joe broke half phone brand
walking on a rainy day	walk put closet walked order
backwards	wanted day school bumped tom
depression	cayla wrong sick bed school
brand new shoes	park showed play game played
stormy weather	weatherman predict call broadcast felt
formula	kiki wanted thought switch happier
dave 's boat	sail boat packed stolen dave
the cute guy	susan stared class class class
school food fight	cafeteria long teacher suspended dan
yuko goes to dinner	apartment eat cabinets restaurant dinner
bee sting	sat jumped cry butt left
movie fiasco	wanted tickets beer bottle lips
painted rocks	penny large painted put sale
stupid boy	gina snatched pencil sharpen care
yoga	stiff health enrolled years yogis
netflix and bill	ordered wait arrive show bill
making cheese	wanted began milk heat filtered
stale crust	made payment car checked tough
jim dies his hair	hair felt dying dishonest decided
piggy bank	save everyday eventually broke finally
squirrel	anna bedroom everyday prevent fat
10,000	start decided friend car great
linda decides to vote	voted important friends candidates candidate
she was crazy	beginning charles crazy wrong dated
study	terri studied eventually worse grades
leprechaun trap	made fantasized find drawings attract
new clothes	week noticed made worthless closed
grass fire	afternoon fire quickly things thankfully
cookie raid	parents night cookie pulled turned
the new laptop	buy slow purchases jason jason
francisco 's flight	francisco years iowa finally happy
fernando paints his bedroom	tired paint sale day happy
ball over the fence	joe fence neighbor yard careful
paper cuts	reading page flip cutting finger
zombie attack	eli day scared court felt
room for baby	dina expecting money room crib
juan 's running shoes	exercise needed juan shape ready
getting a pet	parakeet hurt wing car home
the bug-killing kitty .	movie noticed floor room put
interview	jay needed buy practiced day
son-in-law	rhea beau met meeting relieved
stained pants .	jim scene pants mom stain
the elevator	tim day seconds trapped stairs
walgreens	lucy wanted treat walgreens happily
mario maker	christmas hoping put buy opens
more bags	faced food greatly safe handed
the forger	test mother sign tom find
first snow	morning noticed window covered ran
samantha buys doug a watch	buy doug lot money advice
bongo joe	bongos tune tip money set
the pianist	piano family poor lessons pay
good cookies	ted spit time make people
god	god told love listening mommy
pizza cooking	wanted ingredients instructions indecisive add
malfunction	charge nervous prepared launched cover
shy with santa claus	granddaughter sat lap skeptical priceless
beats by dre	buy broken selection dre expensive
the opossum that would n't leave	lived broom stared words bravery
vlad	people decided error understood ways
attack of the ants	park played sand scary sandbox
the potter 's wheel	pottery potter learn attempted turned
francis milks a cow	farm father early forced dawn
the 69-point word	win needed gave grinned titles
raging rivers	wanted finally straight ended deep
i sat on the sofa	place lot hard sit choose
beyond pettiness	order waitress food asked money
hiking trail	hiking weekend decided day lost
repairs	showering noticed repair refused decided
library	gina office library grabbed book
fresh flowers	flowers water month picked made
a bee in jane 's car	window stung pulled doors car
atlantic city	law trip disaster late performance
pizza party	jeff day car front breaks
drunk teacher	drunk woke words swig flask
train	work engrossed notice stop time
ham on rye	eat sandwich moments rye fine
work ethic	cut things game team state
surprise party	lily friend mentioning plans celebration
the cleanse	cleanse box years felt quit
puppy love	wanted months hard worked earned
a changed friend .	melissa friend picked lot changed
a run in at church .	friend sitting realized pianist class
babies	worried cat ill feared die
chimney	chimney opened face covered careful
reindeer	rodolfo fly plane loaded skies
puppies	puppy work hard rid decided
first lost tooth	years day tooth time parents
janitor	busy start dusting people building
the truck	truck mother asked dolls dad
market research study	buy asked taste participating game
sick	rob money nervous robbery changed
homework	homework day stress weekend fun
turk down	fired discovered information checking finally
heights	rashid lives window overcome group
chanukah	jewish celebrates celebrate party happy
grapes	eat wanted looked gave found
malcolm x	brett kind book malcolm autobiography
prank	year beach family cleaning friends
lost daughter	daughter alexis jane authorities refused
cheers	ted playing attended end team
sore loser	gerald tense winning controller floor
snow day	snowing today home snow play
the call	called jim looked car man
perfection	chair chose cut measured work
phyllis	phyllis day georgina claimed faster
flute	flute terrible thought school flute
first day	job excited day work expecting
ultrasound	pregnant husband time baby blip
crystals	cheer youtube pseudoscience thought ordered
biology lab	missed lab loved dissect setup
impulsive jane	jane store eyeing mobile compared
asparagus	tim hated table leave plan
rob had a bad vacation	canada travel passport lot money
cats	ryan cat annoyed passive quiet
snow cones	jake flavors swapped halfway make
all-nighter	ben spent start dressed school
aircraft cleaners	job plane books anyone books
a new pet	browsing looked love creatures purchase
tickets	win bought winning money wasted
into the bin	day house bucket trash week
newspaper	ronald read chair day paper
the salty mistake	give decided brought monday make
all nighter	homework physics calculus work spent
through the crowd	gina ahead people crowd finally
be positive	work mad rubbed finished patio
flunked	retake teacher day studying test
trying for a fish dinner	dinner fish shade brought night
netflix	jack entertainment subscribed loved movies
heather	befriend dressed surprise polite girls
scott 's new trumpet	trumpet played stairs dropped scott
the hair dye mistake .	dying steps color time looked
the more things change	alex moved struggled fence cry
machu picchu	ned mountain hike climb trouble
cats	decided purchase friends time ginny
hairball	loni coughing vet cough source
let her go	called wrong dan calls solace
the long shower	work shower made sudden time
solo	ara nervous practiced show beautiful
song selection	love album songs loved itunes
sub	lunch needed buy store feet
finding out he was cocky	thought cocky good chosen leadership
lost and found	mike day wallet missing clean
move to the back	line order back shocked kids
the kids on the roof .	kids lot day deal landlord
animal broke lose	visit place result opportunity ran
the plan	house neglected year reflected resolve
angry	friend mike tom lose angry
birthday	june owner party moved happy
payments	jeff vehicle owned show realized
lighthouse trip	trip walked amazing view jelly
the car trick .	car tricky start wiggling leaving
secret admirer	bouquet sandy delivered represents enjoy
paying attention	family day home chin pass
too much coconut oil .	reading tip hair greasy realized
lebron	season championship fire owner lebron
wheelie	motorcycle road position putting fell
shot fear	doctor fear trembling needle knew
winter surprise	haddie pair leave eyes buried
alex is selfish .	alex day meets sweet generous
thrift store rookie	wanted afford cheap time time
jacob breaks his phone	texting concrete hand air ground
tyler	movie agree theater arguing decided
hurricane	neighborhoods house power hurricane morning
conspiracy	james trust read absorbed afraid
decaf	dave morning stressed stayed bed
a story on tupac shakur	hip tupac popular fun girls
slow drive	highway driving sitting traffic decided
fashion show fight	kelly friend upset shows ultimatum
making lisa mad	clambake fine voice mad leave
danger in the air	disneyland air denver divert plane
busy street	busy hurry street impatient stream
stealing a soda .	store wanted money decided steal
quentin 's nightlight	afraid leave face knew conquered
jump rope	grandparents lisa rope side decided
birthday	roommate birthday made present grateful
drug store	work asked worker suggested visit
the helpful tutor	james job realized year vacation
barry 's balloons	barry kids blow balloon left
sports bets	jets game man intently nervous
second chance at love	larry woman approach area buying
stepped on a nail .	jenny building site felt nail
internet addict	computer internet day worried make
turkey day	girlfriend visit lots traffic time
getting our new lizard	weeks present questions pick purchased
gate part one	plowed plow bolts tightened end
making the most of it !	friend release man movie choice
the joy of reading	genre care interesting long day
the bird 's crow	morning crow window sky high
brian 's first overseas trip	break enjoying end money saved
the broken tent .	katie day room fix realized
mike 's graduation	day anxious skipping clothes put
betty and the surfer	betty learn wanted began eventually
a day in bill 's life	work drove coffee home relax
sculptor	sculptor sculpt patience degree sculpture
violin lesson	dropped violin floor hit thankfully
candy	eats time dentist lots candy
shopping	groceries made store purchased home
lilac	vase frank lilacs room happier
nursing school	nurse prerequisites jane application accepted
from bad to worse	job wife work lunch found
college finals	morning attended final test sleep
test drive	car dealership offered limited finances
smoking	nancy older cancer friend call
our first camping trip	family exciting raccoon hands enjoyed
the contest	school entered good withdrew lose
booking ticket in advance	wanted invite rita ticket angry
runner	runner races win race girl
the costume	wanted halloween store sophie fabric
music video	rapper thinking boycotting facebook products
florence has a baby	dreamed kids worried man felt
harvest	chef crops summer finally fruitful
sippy cup	car thirsty forgotten asked easily
the garden	joe today kinds weeks began
immature	friend talk listen bother yelled
coward with a big mouth .	girls accepts fight dan back
dental detective	late eat teeth fan newtons
horace makes rice	wanted show step make happy
new years	december plan buy spoil guest
bubble gum	andrea blow bigger popped hair
nun	nun aspects addition nuns visit
laura	feel insane day matter date
organizing the closet	organize trash shelves books put
jorts	jeans wanted tear pants bottoms
lunch buddy	friend everyday lot friends school
unicorn	unicorn horn glued town halloween
cheese	matt visits cheese money buy
pam 's potatoes	potatoes grew day killed ruined
rita takes up golf	rita strong fast internet suited
new pet , new outlook	devastated grief surprise spent home
country girl	grew dirty city closer miss
rainy day shoes	marathon day ruin shoes closet
jack 's day	jack rode test day day
waking up	alarm turn cold robe shower
the new boy	andrew town day bench group
the selfie stick	jim sticking car driving phone
the extra job	computer pricey job month rachel
getting goats	husband hold greet ground ground
the loud house	house matter silence weekend weekend
dallying nation	dogs pitbull rottweiler attacked child
cheerleading tryouts	nervous audition cartwheels make disappointed
babysitting	bad mom packed bear thought
climbing a rock wall	friends told arcade practiced day
ice no more	slipped ice debacle porch porch
bar	jimmy bouncer argument police call
cold shoulder	erin day friend walked choice
artist	hoped contests knew time lost
all hail !	waited friend waiting waved notice
the babysitter	mother employer son house photo
perfect ring	lakyn picking loved catalogs photos
rainbow	night broken decided approached happening
the test	test weeks tutor day felt
propose	girlfriend properly shocked proposal needed
car keys	work find friend pick fridge
dishwasher	house box big tim top
mary and sally	day broke wrist sally riding
annie cooks indian food	cook recipe annie dinner dinner
the basketball game	friday wanted luckily time won
rip current	day hour sea swept man
erik learns to ride a bike	teach parents wheels day bike
bigfoot sighting	hillary arriving set dark long
spray	anna bother bottle spray applying
turkey	thanksgiving house moldy fridge decided
new favorite food	tina friend tasted loved make
school play	time pushed stage lines beth
the 69 fast cars	day inventory fill decided lot
day lilies	pictures loved pink planted photographs
snow	cold began rain snowing beautiful
rick and the kitten	rick kitten tail running aid
a penny saved	pennies cash day hold mary
foreshadowing	teacher homework principal told office
accommodation	hotel checked mess clean accommodation
fit mom	ray exercise asked fitbit happy
takeoff !	florida playing horizon higher pieces
doug love	attention feelings murderer tracy considered
free tire	car put made sign hour
karate fun	younger started competed place disappointing
no shower	yesterday lots finally water broken
the race	engine driver light ended grandmother
ordering fast food	cashier cheeseburger milkshake food eats
the broken door .	olivia breaking discovered stick fix
angkor wat	neil ruins learned temples photos
moroccanoil	becky manage bottle hair wait
new recipe	dinner logged recipe ingredients needed
cellphone	kathy hand fell catch ended
a musical alternative	pete upset doors friend albums
the blue car	yellow car afford money saved
cream	made cream decided sip ann
and now this	calm began door boy class
the importance of shined shoes	charles shine afternoon hired boss
cleaning	clean daily monday mops wednesday
ryan 's adventure with ben	visit train museums stories souvenirs
bowel movement	matt family scary wondered make
formal gone wrong	walking strains crack sidewalk realized
substitution problems .	edward hated quiet day bought
brianna 's bath	brianna days hours played bath
bike ride	afraid knew day friend bike
craig 's play	craig wanted years play writing
bad key	roy road picked home key
the sneeze	workers urge felt dinner made
